1x1,1x2,1x4,1x8,1x32,1x128,1x512,1x2048,1x8192,1x16384,
2.83,2.57,2.51,2.57,2.61,2.60,2.61,2.60,5.39,9.90,

1x1,2x1,4x1,8x1,16x1,32x1,64x1,128x1,512x1,1024x1,
2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,

1x1,2x2,4x4,8x8,32x16,128x32,512x64,2048x128,8192x512,16384x1024,
2.61,2.60,2.60,2.60,2.60,2.60,2.60,2.60,9.89,40.11,

1x1,1x2,1x4,1x8,1x32,1x128,1x512,1x2048,1x8192,1x16384,
6.00,6.09,6.12,6.13,6.33,6.51,6.82,7.97,10.71,14.82,

1x1,2x1,4x1,8x1,16x1,32x1,64x1,128x1,512x1,1024x1,
5.77,5.77,5.77,6.21,6.37,6.38,6.38,6.37,6.37,6.37,

1x1,2x2,4x4,8x8,32x16,128x32,512x64,2048x128,8192x512,16384x1024,
6.38,6.39,6.31,6.37,6.40,6.52,6.82,7.93,15.16,44.95,

