size_bytes,threads_per_block,threadblocks,bandwidth_gbps
1024,1024,1,0.04949301
1024,1024,2,0.04917167
1024,1024,8,0.04984642
1024,1024,16,0.04681847
1024,1024,32,0.05549666
4096,1024,1,0.18951206
4096,1024,2,0.18115614
4096,1024,8,0.18917325
4096,1024,16,0.18024337
4096,1024,32,0.17484674
16384,1024,1,0.67980469
16384,1024,2,0.71484263
16384,1024,8,0.70217153
16384,1024,16,0.76413598
16384,1024,32,0.72589621
65536,1024,1,2.83315241
65536,1024,2,2.74691467
65536,1024,8,2.79073372
65536,1024,16,3.15261836
65536,1024,32,3.17861420
262144,1024,1,8.01164290
262144,1024,2,9.76903337
262144,1024,8,11.43743213
262144,1024,16,10.90256506
262144,1024,32,11.62412446
1048576,1024,1,16.74918456
1048576,1024,2,23.76143032
1048576,1024,8,40.71433037
1048576,1024,16,43.85083183
1048576,1024,32,45.91300936
4194304,1024,1,11.75853960
4194304,1024,2,20.96290844
4194304,1024,8,53.98636744
4194304,1024,16,80.59887116
4194304,1024,32,102.44632094
16777216,1024,1,11.97562651
16777216,1024,2,21.38183147
16777216,1024,8,64.84276499
16777216,1024,16,105.66070722
16777216,1024,32,174.07239708
67108864,1024,1,13.05809516
67108864,1024,2,25.62871528
67108864,1024,8,80.31986302
67108864,1024,16,144.15439109
67108864,1024,32,212.31746234
268435456,1024,1,13.92954039
268435456,1024,2,25.68271903
268435456,1024,8,80.20003693
268435456,1024,16,144.43930161
268435456,1024,32,196.24295696
1073741824,1024,1,13.94786568
1073741824,1024,2,25.71576662
1073741824,1024,8,79.51759487
1073741824,1024,16,138.78300609
1073741824,1024,32,177.81342939
