size_bytes,threads_per_block,bandwidth_gbps
1024,32,0.04099780
1024,64,0.04622812
1024,128,0.04588323
1024,256,0.04924119
1024,512,0.04513632
1024,1024,0.05025545
4096,32,0.15171281
4096,64,0.16969622
4096,128,0.19132847
4096,256,0.18414848
4096,512,0.19826240
4096,1024,0.21471140
16384,32,0.40101340
16384,64,0.47852019
16384,128,0.61244958
16384,256,0.75998889
16384,512,0.75836018
16384,1024,0.75218726
65536,32,0.69944049
65536,64,1.11190947
65536,128,1.60647965
65536,256,2.13153346
65536,512,2.48586302
65536,1024,2.97622778
262144,32,0.76624368
262144,64,1.41559690
262144,128,2.49418399
262144,256,4.15354608
262144,512,6.20316756
262144,1024,8.16671890
1048576,32,0.78197048
1048576,64,1.81104865
1048576,128,3.51792542
1048576,256,6.51711637
1048576,512,11.25507354
1048576,1024,18.14596466
4194304,32,0.48846505
4194304,64,0.97161862
4194304,128,1.91674341
4194304,256,3.75369445
4194304,512,7.13718121
4194304,1024,12.88535961
16777216,32,0.48939771
16777216,64,0.97330428
16777216,128,1.92985189
16777216,256,3.81125463
16777216,512,7.34020212
16777216,1024,12.14352733
67108864,32,0.48986208
67108864,64,0.97559711
67108864,128,1.93855059
67108864,256,3.83009965
67108864,512,7.41703681
67108864,1024,13.82608673
268435456,32,0.48962696
268435456,64,0.97692678
268435456,128,1.94103829
268435456,256,3.83516436
268435456,512,7.44234107
268435456,1024,13.87866888
1073741824,32,0.48936216
1073741824,64,0.97685695
1073741824,128,1.93935564
1073741824,256,3.83035892
1073741824,512,7.44876075
1073741824,1024,13.90248063
