offset,threads_per_block,threadblocks,bandwidth_gbps
1,1024,16,2.65910894
2,1024,16,2.88466956
3,1024,16,2.72693531
4,1024,16,2.86201778
5,1024,16,2.82824952
6,1024,16,2.75253325
7,1024,16,2.80684442
8,1024,16,2.79751086
9,1024,16,3.04729170
10,1024,16,2.34680723
11,1024,16,2.99289270
12,1024,16,3.36122214
13,1024,16,3.00521703
14,1024,16,3.31124021
15,1024,16,3.05296998
16,1024,16,3.12801592
20,1024,16,3.21853012
32,1024,16,3.16392844
50,1024,16,3.50361155
64,1024,16,3.13154336
90,1024,16,3.14206812
128,1024,16,3.09153950
151,1024,16,3.41844676
256,1024,16,3.01940758
301,1024,16,2.84048330
512,1024,16,2.81666533
1024,1024,16,2.84942475
