stride,threads_per_block,threadblocks,bandwidth_gbps
1,1024,16,2.81986365
2,1024,16,2.96230403
3,1024,16,3.13331007
4,1024,16,3.00797571
5,1024,16,3.00950896
6,1024,16,3.11258027
7,1024,16,2.67057321
8,1024,16,2.93546159
9,1024,16,2.91122057
10,1024,16,3.12858336
11,1024,16,2.93495021
12,1024,16,2.72012166
13,1024,16,2.93680334
14,1024,16,3.05754355
15,1024,16,2.91409433
16,1024,16,2.75262574
20,1024,16,2.80787865
32,1024,16,2.62552006
50,1024,16,2.53773927
64,1024,16,2.34690808
90,1024,16,3.11420724
128,1024,16,3.17915234
151,1024,16,3.06227250
256,1024,16,3.02509542
301,1024,16,2.75054624
512,1024,16,2.57227154
1024,1024,16,2.75381709
