matrix_size,threads_per_block,H2D_time_ms,kernel_time_ms,D2H_time_ms,CPU_time_ms,results_match
4096,32,1.84445,1.50083,0.01573,0.159393,YES
16384,32,0.060121,4.06638,0.02265,1.27358,YES
65536,32,0.100212,1.59588,0.152732,11.2715,YES
262144,32,0.294396,2.165,0.56515,221.103,YES
1048576,32,0.769773,6.3008,1.3897,3400,YES
2359296,32,2.01327,20.2409,2.50244,6244.18,YES
4194304,32,3.25704,47.0567,3.55638,27048,YES
6553600,32,4.8402,90.4145,4.89484,26005.2,YES
9437184,32,6.70417,139.356,7.13746,88098.4,YES
16777216,32,11.6249,309.527,13.1002,289290,YES
