matrix_size,threads_per_block,H2D_time_ms,kernel_time_ms,D2H_time_ms,CPU_time_ms,results_match
4096,32,0.058141,1.77326,0.02348,0.400617,YES
16384,32,0.050201,1.49001,0.023381,1.43497,YES
65536,32,0.095402,1.24875,0.142903,12.5146,YES
262144,32,0.279025,1.33156,0.545699,229.585,YES
1048576,32,0.751243,3.56356,1.31742,3559.66,YES
2359296,32,1.75934,7.52697,2.5153,6733.01,YES
4194304,32,3.48021,14.1084,4.64983,28343.8,YES
6553600,32,6.08866,30.7689,5.4581,27539.4,YES
9437184,32,6.56814,51.9152,8.00375,92945.7,YES
16777216,32,11.8628,121.274,12.7852,293820,YES
