matrix_size,threads_per_block,H2D_time_ms,kernel_time_ms,D2H_time_ms,CPU_time_ms,results_match
1048576,2,.759478,73.836680,1.478838,N/A,N/A
1048576,4,.780348,26.179760,1.421074,N/A,N/A
1048576,6,.794255,20.054380,1.410148,N/A,N/A
1048576,8,.748458,9.393040,1.504530,N/A,N/A
1048576,12,.779162,10.162892,1.621180,N/A,N/A
1048576,16,.748936,6.830898,1.383096,N/A,N/A
1048576,20,.795357,9.767652,1.367314,N/A,N/A
1048576,24,.763826,7.729800,1.407028,N/A,N/A
1048576,28,.776464,9.018424,1.474384,N/A,N/A
1048576,32,.754936,5.541210,1.361426,N/A,N/A
2359296,2,1.800702,232.540000,2.401462,N/A,N/A
2359296,4,1.790272,74.367920,2.597602,N/A,N/A
2359296,6,1.788676,58.375320,2.405518,N/A,N/A
2359296,8,1.822050,25.927040,2.536958,N/A,N/A
2359296,12,1.784598,35.640320,2.188784,N/A,N/A
2359296,16,1.787582,20.656440,2.186974,N/A,N/A
2359296,20,1.796712,29.537800,2.157368,N/A,N/A
2359296,24,1.790596,32.257380,2.305316,N/A,N/A
2359296,28,1.830076,315.659200,2.556652,N/A,N/A
2359296,32,1.788210,19.853240,2.448302,N/A,N/A
4194304,2,3.159492,523.042800,3.556936,N/A,N/A
4194304,4,3.162416,480.757600,3.591246,N/A,N/A
4194304,6,3.159878,116.574800,3.578464,N/A,N/A
4194304,8,3.158998,57.418180,3.611330,N/A,N/A
4194304,12,3.159484,83.706340,3.686874,N/A,N/A
4194304,16,3.156580,45.143100,3.603440,N/A,N/A
4194304,20,3.151872,68.996060,3.603820,N/A,N/A
4194304,24,3.173548,74.779540,3.697666,N/A,N/A
4194304,28,3.155408,63.493780,3.627522,N/A,N/A
4194304,32,3.164070,46.183640,3.555850,N/A,N/A
6553600,2,4.875488,1031.390000,5.148376,N/A,N/A
6553600,4,4.756274,285.187400,5.379124,N/A,N/A
6553600,6,4.905570,337.763200,5.478772,N/A,N/A
6553600,8,4.868338,108.218120,5.417484,N/A,N/A
6553600,12,4.868110,124.708000,5.171156,N/A,N/A
6553600,16,4.749146,74.264020,5.166820,N/A,N/A
6553600,20,4.852106,407.612720,5.316108,N/A,N/A
6553600,24,4.859926,116.098800,5.138360,N/A,N/A
6553600,28,4.796574,93.898120,5.073666,N/A,N/A
6553600,32,4.799666,72.187760,5.072780,N/A,N/A
9437184,2,6.578782,1791.188000,7.236710,N/A,N/A
9437184,4,6.569964,490.537800,7.397628,N/A,N/A
9437184,6,6.600456,356.516000,7.342000,N/A,N/A
9437184,8,6.631784,164.497400,7.230462,N/A,N/A
9437184,12,6.553574,209.239200,7.430226,N/A,N/A
9437184,16,6.614100,127.801200,7.313256,N/A,N/A
9437184,20,6.642444,179.644000,7.277254,N/A,N/A
9437184,24,6.575642,510.077000,7.204370,N/A,N/A
9437184,28,6.633854,160.454600,7.304626,N/A,N/A
9437184,32,6.632718,128.142200,7.261848,N/A,N/A
16777216,2,11.457540,4425.150000,12.506300,N/A,N/A
16777216,4,11.558180,1211.514000,12.372060,N/A,N/A
16777216,6,11.466240,883.352800,12.375260,N/A,N/A
16777216,8,11.466340,386.905000,12.545620,N/A,N/A
16777216,12,11.463780,485.800800,12.573260,N/A,N/A
16777216,16,11.455600,302.444200,12.358560,N/A,N/A
16777216,20,11.476840,412.763200,12.487980,N/A,N/A
16777216,24,11.486400,472.861200,12.455660,N/A,N/A
16777216,28,11.465400,393.418200,12.485520,N/A,N/A
16777216,32,11.456860,286.904200,12.471900,N/A,N/A
67108864,2,44.195640,33662.680000,48.510860,N/A,N/A
67108864,4,44.274940,9763.072000,47.330760,N/A,N/A
67108864,6,44.333180,7097.118000,47.544480,N/A,N/A
67108864,8,44.284200,3058.540000,47.800940,N/A,N/A
67108864,12,44.369540,3949.380000,47.737520,N/A,N/A
67108864,16,44.217820,2437.072000,47.299280,N/A,N/A
67108864,20,44.380280,3230.662000,47.710480,N/A,N/A
67108864,24,44.401780,3774.930000,47.529280,N/A,N/A
67108864,28,44.374540,3115.092000,47.452020,N/A,N/A
67108864,32,44.496740,2314.760000,47.562480,N/A,N/A
