matrix_size,threads_per_block,H2D_time_ms,kernel_time_ms,D2H_time_ms,CPU_time_ms,results_match
1048576,2,.815699,58.998300,1.425350,N/A,N/A
1048576,4,.768194,9.637310,1.400098,N/A,N/A
1048576,6,.778170,6.559046,1.403382,N/A,N/A
1048576,8,.765514,3.451662,1.473444,N/A,N/A
1048576,12,.755390,3.851394,1.380352,N/A,N/A
1048576,16,.769164,2.965322,1.380784,N/A,N/A
1048576,20,.759290,3.088658,1.417514,N/A,N/A
1048576,24,.768468,3.300894,1.482764,N/A,N/A
1048576,28,.768476,3.236878,1.584534,N/A,N/A
1048576,32,.754122,2.884554,1.382832,N/A,N/A
2359296,2,1.800404,171.052800,2.651946,N/A,N/A
2359296,4,1.836214,30.372920,2.447396,N/A,N/A
2359296,6,1.805488,17.758500,2.131410,N/A,N/A
2359296,8,1.794488,308.471480,2.391752,N/A,N/A
2359296,12,1.884094,9.227622,2.401150,N/A,N/A
2359296,16,1.794642,7.638158,2.540360,N/A,N/A
2359296,20,1.791822,8.441346,2.388314,N/A,N/A
2359296,24,1.825382,8.878666,2.224226,N/A,N/A
2359296,28,1.836666,8.416616,2.184494,N/A,N/A
2359296,32,1.811856,7.391330,2.182496,N/A,N/A
4194304,2,3.201454,401.326000,3.667302,N/A,N/A
4194304,4,3.186970,67.725220,3.671774,N/A,N/A
4194304,6,3.411426,48.032540,3.626458,N/A,N/A
4194304,8,3.329630,23.660740,3.795096,N/A,N/A
4194304,12,3.182562,20.750460,3.601802,N/A,N/A
4194304,16,3.497292,299.471920,3.891314,N/A,N/A
4194304,20,3.281438,18.339880,3.680774,N/A,N/A
4194304,24,3.616446,19.669760,4.126146,N/A,N/A
4194304,28,3.104370,18.282340,3.619608,N/A,N/A
4194304,32,3.360696,15.323920,3.774500,N/A,N/A
6553600,2,4.894776,763.355400,5.406982,N/A,N/A
6553600,4,4.916430,131.357200,5.111296,N/A,N/A
6553600,6,4.915610,71.948520,5.255956,N/A,N/A
6553600,8,5.405386,44.375960,5.258054,N/A,N/A
6553600,12,5.100462,39.618320,5.176332,N/A,N/A
6553600,16,4.921326,31.966520,5.422220,N/A,N/A
6553600,20,5.070846,34.687560,5.351012,N/A,N/A
6553600,24,4.873964,31.493620,5.413452,N/A,N/A
6553600,28,4.986914,35.216340,5.040006,N/A,N/A
6553600,32,4.918050,30.881700,5.481028,N/A,N/A
9437184,2,6.643396,1320.412000,7.573988,N/A,N/A
9437184,4,6.715596,225.423400,7.457036,N/A,N/A
9437184,6,6.896578,120.623600,7.408750,N/A,N/A
9437184,8,7.230896,72.506440,7.372738,N/A,N/A
9437184,12,6.778322,67.015580,7.422020,N/A,N/A
9437184,16,6.603624,53.940040,7.295740,N/A,N/A
9437184,20,6.713808,59.370660,7.614336,N/A,N/A
9437184,24,6.555744,54.570280,7.374386,N/A,N/A
9437184,28,6.814266,59.086140,7.339392,N/A,N/A
9437184,32,6.856262,52.230360,7.452450,N/A,N/A
16777216,2,11.651080,3036.698000,12.441560,N/A,N/A
16777216,4,11.338060,479.400600,12.958960,N/A,N/A
16777216,6,11.439740,278.447600,12.857760,N/A,N/A
16777216,8,11.646700,133.578000,12.982460,N/A,N/A
16777216,12,11.617660,121.635800,12.576820,N/A,N/A
16777216,16,11.366800,104.943600,12.483520,N/A,N/A
16777216,20,11.422300,107.212660,12.990920,N/A,N/A
16777216,24,11.437920,106.449800,12.411000,N/A,N/A
16777216,28,11.426980,98.441520,12.867120,N/A,N/A
16777216,32,11.376580,86.840020,12.730020,N/A,N/A
67108864,2,44.315220,25333.480000,48.444440,N/A,N/A
67108864,4,44.853800,4381.686000,48.549340,N/A,N/A
67108864,6,45.577640,2363.494000,48.081580,N/A,N/A
67108864,8,45.388600,1333.936000,48.480420,N/A,N/A
67108864,12,44.777660,973.687200,48.583240,N/A,N/A
67108864,16,45.367940,773.029000,47.956860,N/A,N/A
67108864,20,44.658380,816.684400,48.278300,N/A,N/A
67108864,24,44.719100,875.154000,49.534220,N/A,N/A
67108864,28,45.621740,795.877800,48.276780,N/A,N/A
67108864,32,44.598660,696.403200,48.453480,N/A,N/A
