msize,bsize,th2d,bh2d,td2h,bd2h,tkernel
16777216,1,11.6828,11.4885,12.85,5.22248,3276.14
16777216,1,11.493,11.6782,12.0726,5.55878,3242.73
16777216,1,11.5891,11.5814,12.093,5.5494,3218.66
16777216,1,11.5168,11.6541,12.68,5.2925,3220.2
16777216,1,11.5238,11.647,12.0844,5.55334,3224.52
16777216,1,11.4969,11.6743,12.7898,5.24704,3229.55
16777216,1,11.5128,11.6582,12.3693,5.42544,3232.78
16777216,1,11.525,11.6458,12.6728,5.29549,3237.68
16777216,1,11.5321,11.6386,12.9985,5.16282,3236.26
16777216,1,11.5035,11.6675,12.0853,5.55291,3242.33
16777216,2,11.503,11.6681,12.0606,5.56431,1334.87
16777216,2,11.5216,11.6492,12.0765,5.557,1337.09
16777216,2,11.5148,11.6561,12.0804,5.55518,1338.36
16777216,2,11.5462,11.6244,12.281,5.46444,1333.74
16777216,2,11.5092,11.6618,12.3048,5.45387,1337.3
16777216,2,11.8145,11.3604,12.3089,5.45208,1339.16
16777216,2,11.5066,11.6644,12.1875,5.50635,1338.17
16777216,2,11.5025,11.6686,12.1832,5.50831,1339.86
16777216,2,11.5175,11.6534,12.2242,5.48983,1338.12
16777216,2,11.5383,11.6324,12.2039,5.49898,1339.06
16777216,4,11.535,11.6357,12.4082,5.40844,534.153
16777216,4,11.4951,11.676,12.2263,5.4889,534.299
16777216,4,11.5324,11.6383,12.2552,5.47596,530.396
16777216,4,11.603,11.5675,12.2077,5.49727,529.952
16777216,4,11.5351,11.6356,12.0701,5.55991,529.662
16777216,4,11.5247,11.6461,12.189,5.50571,530.142
16777216,4,11.5934,11.5771,12.1856,5.50725,534.036
16777216,4,11.5299,11.6408,12.0619,5.56372,550.561
16777216,4,11.5171,11.6537,12.1785,5.51046,529.669
16777216,4,11.5205,11.6504,12.2133,5.49472,529.83
16777216,5,11.5029,11.6682,12.225,5.48948,411.087
16777216,5,11.5323,11.6384,12.1954,5.50281,411.7
16777216,5,11.5309,11.6398,12.2297,5.48736,409.435
16777216,5,11.4969,11.6742,12.0833,5.55385,410.82
16777216,5,11.5086,11.6624,12.483,5.37603,410.201
16777216,5,11.4865,11.6848,12.2255,5.48927,412.895
16777216,5,11.4866,11.6848,12.1923,5.50422,408.683
16777216,5,11.5633,11.6072,12.2191,5.49211,409.647
16777216,5,11.5208,11.65,12.2001,5.50067,409.551
16777216,5,11.5098,11.6611,12.2064,5.49786,411.185
16777216,8,11.5217,11.6491,12.3104,5.4514,238.515
16777216,8,11.4712,11.7004,12.1946,5.50317,239.252
16777216,8,11.5288,11.642,12.2202,5.49164,278.517
16777216,8,11.5307,11.6401,12.2073,5.49744,237.972
16777216,8,11.5027,11.6683,12.0503,5.56905,237.82
16777216,8,11.5358,11.6349,12.1753,5.51187,238.592
16777216,8,11.4785,11.693,12.1885,5.5059,237.238
16777216,8,11.5131,11.6578,12.0806,5.5551,239.204
16777216,8,11.5107,11.6602,12.1772,5.51101,239.504
16777216,8,11.5493,11.6213,12.1987,5.50132,238.612
16777216,16,11.5089,11.6621,12.123,5.53568,151.464
16777216,16,11.5116,11.6594,12.3963,5.4136,151.941
16777216,16,11.5005,11.6706,12.2749,5.46715,151.808
16777216,16,11.518,11.6529,12.3729,5.42386,151.034
16777216,16,11.5204,11.6505,12.3566,5.43103,151.583
16777216,16,11.5406,11.63,12.1472,5.52462,151.802
16777216,16,11.5244,11.6464,12.1964,5.50234,152.195
16777216,16,11.5281,11.6427,12.1967,5.50223,151.914
16777216,16,11.5253,11.6455,12.0884,5.55153,151.454
16777216,16,11.546,11.6246,12.3183,5.44792,151.604
16777216,25,11.5227,11.6482,12.3508,5.43355,225.299
16777216,25,11.4964,11.6748,12.6109,5.3215,224.208
16777216,25,11.4918,11.6794,12.1982,5.50152,224.344
16777216,25,11.4904,11.6809,13.0131,5.15704,224.258
16777216,25,11.5116,11.6594,12.1943,5.5033,224.621
16777216,25,11.5283,11.6424,12.1916,5.50454,224.902
16777216,25,11.4976,11.6735,12.07,5.55997,224.132
16777216,25,11.492,11.6793,12.1957,5.50267,224.479
16777216,25,11.4859,11.6854,12.0745,5.55791,224.174
16777216,25,11.5238,11.647,12.1948,5.50309,224.684
16777216,32,11.5105,11.6604,12.2023,5.49969,175.808
16777216,32,11.5182,11.6527,12.2076,5.49731,176.047
16777216,32,11.504,11.667,13.0102,5.15818,175.776
16777216,32,11.5149,11.656,12.0719,5.55911,175.616
16777216,32,11.5682,11.6023,12.2819,5.46406,176.277
16777216,32,11.4948,11.6763,12.6142,5.3201,176.219
16777216,32,11.4988,11.6724,12.3211,5.44667,176.495
16777216,32,11.5255,11.6453,12.2802,5.46478,175.831
16777216,32,11.5079,11.6631,12.2117,5.49545,176.137
16777216,32,11.5045,11.6666,12.0891,5.5512,176.057
