msize,bsize,t
16384,32,1.43034
16384,32,1.43611
16384,32,1.42542
16384,32,1.43234
16384,32,1.42449
16384,32,1.43876
16384,32,1.45225
16384,32,1.42938
16384,32,1.43958
16384,32,1.43095
65536,32,13.0445
65536,32,13.0208
65536,32,13.0084
65536,32,12.9778
65536,32,13.0537
65536,32,13.0451
65536,32,12.9661
65536,32,12.9819
65536,32,12.9908
65536,32,13.0107
250000,32,85.9822
250000,32,85.1284
250000,32,85.979
250000,32,85.147
250000,32,85.1009
250000,32,104.111
250000,32,93.7516
250000,32,85.8968
250000,32,85.1601
250000,32,86.0018
262144,32,240.957
262144,32,241.307
262144,32,241.323
262144,32,241.081
262144,32,241.359
262144,32,241.264
262144,32,241.183
262144,32,241.357
262144,32,240.775
262144,32,241.782
4194304,32,44308.4
4194304,32,30293.3
4194304,32,28093.1
4194304,32,28087.2
4194304,32,28113.8
4194304,32,28085.8
4194304,32,28230
4194304,32,28086.7
4194304,32,28118.7
4194304,32,28217.8
17572864,32,50846.5
18490000,32,56305.4
