msize,bsize,th2d,bh2d,td2h,bd2h,tkernel
67108864,1,45.0398,11.9199,47.713,5.62604,25578.7
67108864,1,45.2614,11.8616,47.5928,5.64026,25714.2
67108864,1,49.0581,10.9436,46.8843,5.72549,25863
67108864,1,44.9921,11.9326,46.9617,5.71605,26003.1
67108864,1,44.075,12.1809,47.0703,5.70286,26113.9
67108864,1,46.3213,11.5902,50.3369,5.33277,26341.2
67108864,1,46.2098,11.6181,47.6228,5.6367,26756.2
67108864,1,46.6013,11.5205,46.9076,5.72265,26930.3
67108864,1,45.745,11.7362,47.0176,5.70925,26968.4
67108864,1,45.6334,11.7649,46.9749,5.71444,26765.7
67108864,2,46.9359,11.4384,46.8159,5.73385,9021.48
67108864,2,46.7165,11.4921,46.9387,5.71885,9003.77
67108864,2,46.1225,11.6401,46.8676,5.72753,8947.46
67108864,2,45.2876,11.8547,46.8442,5.73039,9035.64
67108864,2,46.5541,11.5322,47.7001,5.62756,9039.55
67108864,2,44.1725,12.154,46.9982,5.71161,9037.94
67108864,2,44.455,12.0767,46.8429,5.73054,8963.87
67108864,2,46.6042,11.5198,47.5245,5.64837,9038.07
67108864,2,46.6413,11.5106,47.7472,5.62201,9012.3
67108864,2,44.155,12.1588,46.78,5.73825,9013.3
67108864,4,44.1922,12.1485,47.6906,5.62868,4090.92
67108864,4,48.6638,11.0322,46.889,5.72492,4101.65
67108864,4,48.9876,10.9593,46.7518,5.74171,4177.14
67108864,4,45.7229,11.7418,46.8001,5.73579,4137.62
67108864,4,47.4879,11.3054,46.8451,5.73027,4220.81
67108864,4,46.2709,11.6028,46.9949,5.71201,4202.8
67108864,4,44.0815,12.1791,47.2607,5.67989,4131.86
67108864,4,46.5347,11.537,47.2821,5.67732,4248.14
67108864,4,45.972,11.6782,46.8707,5.72714,4088.27
67108864,4,47.3861,11.3297,47.7521,5.62144,4283.76
67108864,5,44.1353,12.1642,47.1085,5.69824,4108.01
67108864,5,46.5838,11.5248,46.871,5.72711,4095.06
67108864,5,44.2892,12.1219,47.0851,5.70107,4117.3
67108864,5,46.7232,11.4905,46.9363,5.71915,4097.31
67108864,5,44.3397,12.1081,46.9013,5.72341,4110.39
67108864,5,46.1341,11.6372,46.911,5.72223,4085.96
67108864,5,45.9507,11.6836,46.8908,5.72469,4111.73
67108864,5,46.6403,11.5109,47.0434,5.70612,4102.26
67108864,5,45.2397,11.8672,47.1904,5.68835,4102.18
67108864,5,44.4166,12.0872,47.3814,5.66542,4112.35
67108864,8,44.3771,12.0979,47.2613,5.67981,3303.41
67108864,8,46.4022,11.57,47.2532,5.68079,3247.22
67108864,8,46.5942,11.5223,46.8237,5.7329,3324.09
67108864,8,45.6874,11.751,47.1541,5.69273,3256.51
67108864,8,46.4087,11.5683,47.0495,5.70538,3298.1
67108864,8,46.6342,11.5124,47.1978,5.68746,3376.83
67108864,8,45.9275,11.6895,46.9039,5.7231,3292.88
67108864,8,46.6433,11.5101,46.9432,5.71831,3272.63
67108864,8,44.0633,12.1841,47.6828,5.62961,3326.08
67108864,8,49.0744,10.9399,47.0988,5.69941,3143.14
67108864,16,46.7129,11.493,47.0153,5.70954,1181.11
67108864,16,44.382,12.0966,47.0264,5.70819,1179.52
67108864,16,46.6844,11.5,47.1401,5.69442,1181.54
67108864,16,44.1746,12.1534,47.7806,5.61809,1174.54
67108864,16,44.2519,12.1322,47.0518,5.70511,1176.73
67108864,16,45.711,11.7449,46.9188,5.72128,1176.15
67108864,16,44.1544,12.1589,46.9975,5.7117,1176.96
67108864,16,44.0829,12.1787,46.9805,5.71376,1179.36
67108864,16,45.7051,11.7464,47.0886,5.70064,1177.37
67108864,16,45.6581,11.7585,46.9738,5.71457,1174.84
67108864,25,44.4186,12.0866,47.0011,5.71126,1769.16
67108864,25,45.6587,11.7583,47.0685,5.70308,1772.19
67108864,25,44.0682,12.1827,46.9694,5.71511,1770.64
67108864,25,45.9302,11.6889,46.8579,5.72871,1771.15
67108864,25,46.4096,11.5681,47.0045,5.71084,1773.41
67108864,25,46.5574,11.5314,46.9302,5.71989,1768.71
67108864,25,46.599,11.5211,47.0143,5.70966,1770.22
67108864,25,44.4145,12.0877,47.0201,5.70895,1771.94
67108864,25,44.1376,12.1636,47.0692,5.70299,1772.25
67108864,25,45.7553,11.7335,46.8985,5.72375,1771.26
67108864,32,46.6135,11.5175,48.0377,5.58801,1379.31
67108864,32,44.0664,12.1832,47.0242,5.70845,1381.71
67108864,32,46.3371,11.5862,47.0968,5.69966,1379.27
67108864,32,46.7909,11.4738,47.0726,5.70258,1415.24
67108864,32,44.5037,12.0635,46.8633,5.72806,1378.86
67108864,32,46.5786,11.5261,47.3199,5.67278,1379.42
67108864,32,45.0328,11.9218,51.2,5.24288,1410.9
67108864,32,44.16,12.1574,47.0053,5.71075,1378.49
67108864,32,44.2754,12.1257,46.8959,5.72407,1379.74
67108864,32,46.7299,11.4888,46.9145,5.72181,1379.93
