msize,bsize,th2d,bh2d,td2h,bd2h,tkernel
16384,32,0.044821,2.92434,0.02266,2.89214,1.84805
16384,32,0.045551,2.87748,0.02248,2.9153,1.37652
16384,32,0.04264,3.07392,0.022961,2.85423,1.45732
16384,32,0.042601,3.07674,0.022401,2.92558,1.64301
16384,32,0.044241,2.96268,0.0225,2.91271,1.51582
65536,32,0.086622,6.0526,0.145993,1.79559,1.44339
65536,32,0.087212,6.01165,0.144242,1.81739,1.52336
65536,32,0.086911,6.03247,0.145802,1.79795,1.44776
65536,32,0.088432,5.92871,0.145903,1.7967,1.42307
65536,32,0.087402,5.99858,0.145193,1.80549,1.41069
250000,32,0.257084,7.77956,0.524849,1.90531,1.78052
250000,32,0.257034,7.78107,0.525679,1.9023,1.74432
250000,32,0.256444,7.79897,0.517569,1.93211,1.67876
250000,32,0.257294,7.77321,0.518119,1.93006,2.10145
250000,32,0.255305,7.83377,0.520979,1.91946,1.55482
262144,32,0.269595,7.7789,0.54635,1.91924,1.61775
262144,32,0.275335,7.61673,0.544799,1.9247,2.06047
262144,32,0.265765,7.891,0.540879,1.93865,2.29078
262144,32,0.272724,7.68965,0.54046,1.94015,1.76068
262144,32,0.266724,7.86263,0.54506,1.92378,2.17955
4194304,32,3.21916,10.4233,3.5015,4.79144,12.504
4194304,32,3.21787,10.4275,3.50621,4.785,12.3862
4194304,32,3.22022,10.4199,3.51136,4.77798,12.5084
4194304,32,3.20981,10.4537,3.50764,4.78305,12.5368
4194304,32,3.22099,10.4174,3.5121,4.77698,12.5508
17572864,32,12.0979,11.6204,12.3708,5.68203,103.587
17572864,32,12.0677,11.6495,13.1488,5.34583,92.5571
17572864,32,12.111,11.6079,13.1618,5.34056,92.5655
17572864,32,12.1061,11.6126,13.1253,5.35544,92.422
17572864,32,12.1189,11.6003,13.1459,5.34703,92.4643
18490000,32,12.6519,11.6915,13.0373,5.67296,100.851
18490000,32,12.6694,11.6754,13.5568,5.45555,771.935
18490000,32,12.6577,11.6862,13.5515,5.45771,100.558
18490000,32,12.6652,11.6793,13.552,5.4575,100.719
18490000,32,12.6673,11.6773,14.2388,5.19428,100.609
67108864,32,44.1831,12.1511,46.848,5.72993,691.234
67108864,32,44.3273,12.1115,46.8206,5.73327,692.252
67108864,32,44.1996,12.1465,46.8169,5.73373,694.411
67108864,32,44.2926,12.121,46.8135,5.73414,694.189
67108864,32,44.2107,12.1435,46.7976,5.73609,694.291
