matrixSize,blockDim,Time_H2D_ms,Bandwidth_H2D,Time_D2H_ms,Time_Kernel_ms,Time_CPU_ms;
1048576,1,0.749213,11.1966,1.43517,287.043,0;
1048576,2,0.746674,11.2346,1.43837,43.0446,0;
1048576,3,0.756143,11.0939,1.33041,14.7007,0;
1048576,4,0.738113,11.3649,1.31934,7.89108,0;
1048576,5,0.748283,11.2105,1.32293,5.60473,0;
1048576,6,0.746563,11.2363,1.32438,5.93322,0;
1048576,7,0.748724,11.2039,1.30798,4.41511,0;
1048576,8,0.750263,11.1809,1.33996,3.37729,0;
1048576,9,0.750033,11.1843,1.31469,3.84743,0;
1048576,10,0.750723,11.174,1.32554,4.1059,0;
1048576,11,0.749054,11.1989,1.32797,3.47272,0;
1048576,12,0.803714,10.4373,1.62301,3.99622,0;
1048576,13,0.888585,9.44041,2.34641,4.12551,0;
1048576,14,0.747773,11.2181,1.44674,1457.53,0;
1048576,15,0.752413,11.1489,1.33453,3.62481,0;
1048576,16,0.750523,11.177,1.4513,3.61727,0;
1048576,17,0.750183,11.1821,1.33594,4.0043,0;
1048576,18,0.750943,11.1708,1.32509,3.37223,0;
1048576,19,0.752803,11.1432,1.32689,3.64864,0;
1048576,20,0.749063,11.1988,1.31672,3.72916,0;
1048576,21,0.749473,11.1927,1.32669,3.46979,0;
1048576,22,0.749914,11.1861,1.37594,3.58889,0;
1048576,23,0.749784,11.188,1.32434,3.85295,0;
1048576,24,0.751174,11.1673,1.32036,3.50825,0;
1048576,25,0.752743,11.1441,1.43071,3.4623,0;
1048576,26,0.750253,11.181,1.3304,3.81983,0;
1048576,27,0.749784,11.188,1.32641,3.7934,0;
1048576,28,0.748693,11.2043,1.315,3.43084,0;
1048576,29,0.750873,11.1718,1.33226,3.68734,0;
1048576,30,0.760983,11.0234,1.32053,3.83812,0;
1048576,31,0.746763,11.2333,1.34481,3.63087,0;
1048576,32,0.753483,11.1331,1.32442,3.44122,0;
2359296,1,1.80396,10.4627,2.4777,1213.51,0;
2359296,2,1.80822,10.4381,1.98586,170.865,0;
2359296,3,1.79705,10.503,1.97597,55.819,0;
2359296,4,1.79625,10.5076,1.97208,28.2322,0;
2359296,5,1.82208,10.3587,2.4935,17.3983,0;
