matrixSize,blockDim,Time_H2D_ms,Bandwidth_H2D,Time_D2H_ms,Time_Kernel_ms,Time_CPU_ms;
1048576,1,0.738954,11.352,1.32725,146.125,0;
1048576,2,0.725984,11.5548,1.33131,32.1808,0;
1048576,3,0.734514,11.4206,1.33721,18.8685,0;
1048576,4,0.732534,11.4515,1.33099,11.722,0;
1048576,5,0.736814,11.385,1.31515,9.03988,0;
1048576,6,0.723364,11.5967,1.32001,8.63998,0;
1048576,7,0.734924,11.4143,1.32309,7.55982,0;
1048576,8,0.734654,11.4184,1.31478,5.30296,0;
1048576,9,0.735034,11.4125,1.31999,6.55457,0;
1048576,10,0.747384,11.224,1.29224,5.82996,0;
1048576,11,0.735053,11.4122,1.28432,5.93317,0;
1048576,12,0.732323,11.4548,1.28642,5.12583,0;
1048576,13,0.724744,11.5746,1.27801,5.81354,0;
1048576,14,0.725134,11.5684,1.27811,6.01973,0;
1048576,15,0.735454,11.406,1.27655,5.91774,0;
1048576,16,0.734004,11.4286,1.28167,4.21381,0;
1048576,17,0.738344,11.3614,1.27764,5.96204,0;
1048576,18,0.725184,11.5676,1.28313,5.56851,0;
1048576,19,0.731954,11.4606,1.34461,5.54962,0;
1048576,20,0.733254,11.4402,1.26332,5.19148,0;
1048576,21,0.745324,11.255,1.33943,5.50691,0;
1048576,22,0.746244,11.2411,1.32144,5.40225,0;
1048576,23,0.731604,11.466,1.31485,5.55096,0;
1048576,24,0.733684,11.4335,1.32369,5.54661,0;
1048576,25,0.737514,11.3742,1.31672,5.9618,0;
1048576,26,0.736514,11.3896,1.32,5.52743,0;
1048576,27,0.746324,11.2399,1.32584,5.7445,0;
1048576,28,0.737224,11.3786,1.34127,5.45264,0;
1048576,29,0.736674,11.3871,1.32398,5.76056,0;
1048576,30,0.735874,11.3995,1.31566,5.84023,0;
1048576,31,0.733854,11.4309,1.32092,6.40267,0;
1048576,32,0.734494,11.4209,1.32558,5.09812,0;
2359296,1,1.75698,10.7425,2.49509,328.421,0;
2359296,2,1.74595,10.8104,2.48105,100.837,0;
2359296,3,1.74254,10.8315,2.47811,59.663,0;
2359296,4,1.75594,10.7488,1.98497,38.8842,0;
2359296,5,1.73712,10.8653,1.97021,27.703,0;
2359296,6,1.74959,10.7879,1.97074,25.34,0;
2359296,7,1.73467,10.8806,1.97919,19.3928,0;
2359296,8,1.77375,10.6409,2.46524,17.1822,0;
2359296,9,1.90861,9.88909,3.55464,17.4092,0;
2359296,10,1.74919,10.7903,2.41141,16.4104,0;
2359296,11,1.73314,10.8903,1.94415,14.7143,0;
2359296,12,1.74319,10.8275,1.94601,14.1198,0;
2359296,13,1.75252,10.7698,1.95064,14.556,0;
2359296,14,1.73995,10.8476,2.42827,15.218,0;
2359296,15,1.75304,10.7666,2.4033,14.8129,0;
2359296,16,1.75048,10.7824,1.94543,10.3615,0;
2359296,17,1.74494,10.8166,1.9407,14.9874,0;
2359296,18,1.75776,10.7377,2.4283,15.0928,0;
2359296,19,1.74353,10.8254,1.95203,15.9625,0;
2359296,20,1.73875,10.8551,2.42055,14.627,0;
2359296,21,1.75011,10.7847,1.95808,16.0668,0;
2359296,22,1.74668,10.8058,2.4252,15.8085,0;
2359296,23,1.74891,10.7921,1.95334,16.6023,0;
2359296,24,1.75005,10.785,1.94062,14.1224,0;
2359296,25,1.75319,10.7657,1.94997,17.6988,0;
2359296,26,1.74548,10.8133,1.95647,17.2295,0;
2359296,27,1.74495,10.8165,1.94283,18.0623,0;
2359296,28,1.74505,10.8159,2.40287,17.0356,0;
2359296,29,1.75027,10.7837,2.40899,18.2707,0;
2359296,30,1.76277,10.7072,1.95378,18.1047,0;
2359296,31,1.75044,10.7826,1.95196,18.5595,0;
2359296,32,1.73773,10.8615,2.40336,14.2938,0;
4194304,1,3.1197,10.7557,3.41746,538.513,0;
4194304,2,3.09883,10.8281,3.50396,411.19,0;
4194304,3,3.12856,10.7252,3.47807,113.122,0;
4194304,4,3.09462,10.8428,3.47618,85.4948,0;
4194304,5,3.10148,10.8188,3.47214,62.5353,0;
4194304,6,3.10304,10.8134,3.47731,59.0201,0;
4194304,7,3.10931,10.7916,3.46735,48.2473,0;
4194304,8,3.10392,10.8103,3.47186,33.0852,0;
4194304,9,3.11232,10.7812,3.47066,38.2714,0;
4194304,10,3.11115,10.7852,3.4708,39.9031,0;
4194304,11,3.13294,10.7102,3.47131,38.7733,0;
4194304,12,3.1032,10.8129,3.48206,35.0374,0;
4194304,13,3.13734,10.6952,4.36121,32.0662,0;
4194304,14,3.10893,10.7929,3.48092,29.8689,0;
4194304,15,3.10678,10.8004,3.49332,29.8539,0;
4194304,16,3.10931,10.7916,3.47765,19.2457,0;
4194304,17,3.11425,10.7745,3.46529,32.4251,0;
4194304,18,3.10193,10.8173,3.48243,31.7874,0;
4194304,19,3.11697,10.7651,3.47329,33.5932,0;
4194304,20,3.13155,10.715,3.48022,31.9317,0;
4194304,21,3.10397,10.8102,3.4739,34.9042,0;
4194304,22,3.10244,10.8155,3.49329,35.742,0;
4194304,23,3.10662,10.8009,3.47344,37.3331,0;
4194304,24,3.10696,10.7998,3.48217,30.8433,0;
4194304,25,3.11267,10.78,3.46608,38.1202,0;
4194304,26,3.12029,10.7536,3.46707,37.7623,0;
4194304,27,3.1138,10.776,3.4773,38.6905,0;
4194304,28,3.11433,10.7742,3.46988,36.4005,0;
4194304,29,3.11343,10.7773,3.46894,39.537,0;
4194304,30,3.10841,10.7947,3.47019,39.511,0;
4194304,31,3.13076,10.7177,3.4464,40.7145,0;
4194304,32,3.11877,10.7589,3.45408,30.1452,0;
9437184,1,6.50564,11.6049,7.03662,1588.57,0;
9437184,2,6.51955,11.5802,7.06063,591.49,0;
9437184,3,6.52857,11.5642,7.0332,335.039,0;
9437184,4,6.64913,11.3545,7.02831,221.255,0;
9437184,5,6.49074,11.6316,7.03881,165.703,0;
9437184,6,6.50032,11.6144,7.03476,172.829,0;
9437184,7,6.52798,11.5652,7.05612,141.535,0;
9437184,8,6.49846,11.6177,7.04526,100.652,0;
9437184,9,6.49315,11.6272,7.04173,793.721,0;
9437184,10,6.47446,11.6608,7.04248,191.848,0;
9437184,11,6.47806,11.6543,7.03537,101.955,0;
9437184,12,6.48814,11.6362,7.02377,173.715,0;
9437184,13,6.53004,11.5616,7.03225,207.981,0;
9437184,14,6.48746,11.6374,7.02737,171.137,0;
9437184,15,6.51797,11.583,7.03557,103.007,0;
9437184,16,6.47936,11.652,7.05566,60.6056,0;
9437184,17,6.48357,11.6444,7.05137,115.863,0;
9437184,18,6.52582,11.569,7.48625,91.5067,0;
9437184,19,6.54457,11.5359,6.97514,91.0828,0;
9437184,20,6.51608,11.5863,6.99101,84.9352,0;
9437184,21,6.51187,11.5938,6.97683,89.8871,0;
9437184,22,6.48441,11.6429,6.98241,88.4378,0;
9437184,23,6.47436,11.661,7.00526,91.1198,0;
9437184,24,6.50989,11.5973,6.97217,74.5577,0;
9437184,25,6.54432,11.5363,6.98907,91.8051,0;
9437184,26,6.5104,11.5964,7.01396,90.9614,0;
9437184,27,6.51458,11.589,6.98123,93.2744,0;
9437184,28,6.52203,11.5758,7.01209,87.1897,0;
9437184,29,6.48072,11.6496,6.98401,95.3815,0;
9437184,30,6.50051,11.6141,6.9777,93.8056,0;
9437184,31,6.50637,11.6036,6.97445,97.5835,0;
9437184,32,6.52904,11.5633,7.01075,71.5353,0;
16777216,1,11.3862,11.7877,12.1331,3183.12,0;
16777216,2,11.4167,11.7563,12.2144,1304.28,0;
16777216,3,11.4099,11.7633,12.0168,737.621,0;
16777216,4,11.3962,11.7774,11.97,519.341,0;
16777216,5,11.4257,11.747,12.1805,400.268,0;
16777216,6,11.3676,11.807,11.9857,409.969,0;
16777216,7,11.3704,11.8042,11.951,333.43,0;
16777216,8,11.3988,11.7748,12.0708,231.234,0;
16777216,9,11.4049,11.7685,11.9722,320.808,0;
16777216,10,11.3949,11.7788,11.9514,361.375,0;
16777216,11,11.4096,11.7636,11.9819,242.908,0;
16777216,12,11.353,11.8222,12.624,288.858,0;
16777216,13,11.3991,11.7744,12.1186,351.079,0;
16777216,14,11.1655,12.0207,11.9677,285.951,0;
16777216,15,11.4203,11.7526,11.9499,228.054,0;
16777216,16,11.3954,11.7782,12.085,146.608,0;
16777216,17,11.4338,11.7387,12.1208,230.731,0;
16777216,18,11.3877,11.7862,11.9911,209.639,0;
16777216,19,11.4096,11.7635,11.9866,213.174,0;
16777216,20,11.3631,11.8117,11.9904,196.427,0;
16777216,21,11.3871,11.7868,12.104,212.184,0;
16777216,22,11.3928,11.7809,12.0092,210.234,0;
16777216,23,11.4049,11.7684,12.1354,216.195,0;
16777216,24,11.3742,11.8002,13.1218,177.456,0;
16777216,25,11.4003,11.7732,12.1227,217.202,0;
16777216,26,11.3886,11.7853,12.1535,215.1,0;
16777216,27,11.3923,11.7815,13.0526,220.14,0;
16777216,28,11.405,11.7683,12.0728,207.742,0;
16777216,29,11.3877,11.7862,12.1154,226.432,0;
16777216,30,11.4022,11.7712,12.1842,224.029,0;
16777216,31,11.4209,11.7519,12.0776,232.759,0;
16777216,32,11.3996,11.7739,11.979,170.323,0;
37748736,1,25.0493,12.0558,27.4508,10689.9,0;
37748736,2,24.994,12.0825,26.6561,3746.73,0;
37748736,3,25.0024,12.0784,26.5078,2223.18,0;
37748736,4,25.0438,12.0585,26.5588,1525.5,0;
37748736,5,25.0176,12.0711,27.6513,1994.34,0;
37748736,6,25.0553,12.0529,26.5637,2535.73,0;
37748736,7,24.9975,12.0808,26.4772,1833.59,0;
37748736,8,25.0044,12.0774,26.5321,1134.65,0;
37748736,9,24.9793,12.0896,26.548,2157.27,0;
37748736,10,25.0519,12.0546,26.5645,2459.71,0;
37748736,11,25.0409,12.0599,26.5273,1012.49,0;
37748736,12,25.0576,12.0518,26.5271,2161.03,0;
37748736,13,25.0559,12.0526,26.5701,2434.82,0;
37748736,14,25.0104,12.0746,26.5314,2171.38,0;
37748736,15,25.0542,12.0535,26.5313,1636.7,0;
37748736,16,25.0569,12.0522,27.2966,498.217,0;
37748736,17,25.0477,12.0566,26.6228,1811.6,0;
37748736,18,24.9798,12.0894,26.5486,1635.23,0;
37748736,19,24.9876,12.0856,26.5675,729.413,0;
37748736,20,24.9991,12.0801,26.5729,1654.78,0;
37748736,21,25.0098,12.0749,26.7337,956.024,0;
37748736,22,25.0187,12.0705,26.5627,841.872,0;
37748736,23,24.9555,12.1011,26.6646,735.352,0;
37748736,24,25.0615,12.05,26.6135,603.568,0;
37748736,25,25.7699,11.7187,26.5298,737.833,0;
37748736,26,25.0338,12.0633,26.5502,732.202,0;
37748736,27,25.071,12.0454,26.531,749.032,0;
37748736,28,25.0109,12.0743,26.6008,708.368,0;
37748736,29,25.0001,12.0796,26.554,772.845,0;
37748736,30,25.0571,12.0521,26.5371,765.688,0;
37748736,31,25.034,12.0632,26.5065,791.257,0;
37748736,32,24.9957,12.0817,27.0442,571.966,0;
67108864,1,44.1311,12.1654,46.6421,25974.2,0;
67108864,2,44.1345,12.1644,48.3128,8935.56,0;
67108864,3,44.0861,12.1778,46.7358,7466.57,0;
67108864,4,44.0951,12.1753,46.7513,4085.77,0;
67108864,5,44.1054,12.1724,46.7841,4091.42,0;
67108864,6,44.0958,12.1751,46.8207,8819.8,0;
67108864,7,44.1498,12.1602,48.5622,5093.66,0;
67108864,8,44.1421,12.1623,46.7295,3356.16,0;
67108864,9,44.1264,12.1667,46.7283,5967.55,0;
67108864,10,44.1113,12.1708,47.6673,6338.08,0;
67108864,11,44.1283,12.1661,46.8626,3160.04,0;
67108864,12,44.1334,12.1647,46.7831,5353.35,0;
67108864,13,44.0968,12.1748,47.3002,5975.6,0;
67108864,14,44.1145,12.1699,47.7103,5625.06,0;
67108864,15,44.1118,12.1707,46.7235,4596.06,0;
67108864,16,44.2168,12.1418,46.7491,1221.45,0;
67108864,17,44.1154,12.1697,47.1308,4594.36,0;
67108864,18,44.107,12.172,46.7455,4016.33,0;
67108864,19,44.1452,12.1615,46.7262,1763.9,0;
67108864,20,44.1246,12.1672,47.56,4406.65,0;
67108864,21,44.2206,12.1407,46.6936,2936.6,0;
67108864,22,44.0719,12.1817,46.7404,2568.84,0;
67108864,23,44.1365,12.1639,46.7315,1807.4,0;
67108864,24,44.1187,12.1688,46.7802,1481.44,0;
67108864,25,44.1393,12.1631,47.5751,1794.85,0;
67108864,26,44.1386,12.1633,46.7045,1788.38,0;
67108864,27,44.1277,12.1663,46.7869,1845.15,0;
67108864,28,44.0995,12.1741,47.241,1744.9,0;
67108864,29,44.1984,12.1468,47.2235,1911.49,0;
67108864,30,44.1034,12.173,46.7787,1898.54,0;
67108864,31,44.1095,12.1713,46.7139,1975.04,0;
67108864,32,44.1323,12.165,46.722,1399.76,0;
