s,t,memcpy_h2d_ms,bandwith_h2d_gbps,memcpy_d2h_ms,bandwidth_d2h_gbps,t_matmul_ms,total_ms,speedup
128,1,0.04789,2.73694,0.023031,2.84556,1.87001,1.940931,0.656144
128,2,0.043541,3.01031,0.02269,2.88832,4.36036,4.426591,0.2877
128,4,0.04303,3.04606,0.022631,2.89585,1.33394,1.399601,0.909924
128,8,0.045051,2.90941,0.023061,2.84185,1.56567,1.633782,0.779498
128,10,0.045701,2.86803,0.024,2.73067,1.17254,1.242241,1.025188
128,16,0.04207,3.11557,0.02256,2.90496,1.05451,1.11914,1.137954
128,25,0.047321,2.76985,0.022861,2.86672,1.60106,1.671242,0.762026
128,32,0.04065,3.2244,0.0234,2.80068,1.09909,1.16314,1.094907
256,1,0.083391,6.28711,0.145463,1.80214,3.73694,3.965794,2.963467
256,2,0.086982,6.02755,0.145813,1.79781,1.91766,2.150455,5.465122
256,4,0.083041,6.3136,0.142193,1.84358,3.47605,3.701284,3.175249
256,8,0.089441,5.86183,0.140053,1.87175,1.34263,1.572124,7.475555
256,10,0.085382,6.1405,0.148113,1.76989,1.27417,1.507665,7.795167
256,16,0.089011,5.89015,0.141823,1.84839,1.39989,1.630724,7.206922
256,25,0.085322,6.14482,0.143553,1.82611,1.41397,1.642845,7.153749
256,32,0.085031,6.16585,0.143513,1.82662,1.4454,1.673944,7.020844
512,1,0.264514,7.92832,0.560801,1.86978,25.3987,26.224015,8.808338
512,2,0.247914,8.45919,0.55781,1.87981,7.23691,8.042634,28.72069
512,4,0.270175,7.7622,0.52387,2.0016,3.18334,3.977385,58.075846
512,8,0.258444,8.11453,0.520479,2.01464,1.98196,2.760883,83.665262
512,10,0.244795,8.56697,0.58233,1.80066,2.0676,2.894725,79.796872
512,16,0.282555,7.4221,0.532289,1.96994,1.50636,2.321204,99.513011
512,25,0.257784,8.13531,0.524579,1.99889,1.92568,2.708043,85.297759
512,32,0.265424,7.90114,0.523679,2.00233,1.56253,2.351633,98.225361
800,1,0.478159,10.7077,1.15041,2.22529,63.2969,64.925469,4.81355
800,2,0.478539,10.6992,1.14455,2.23668,17.9053,19.528389,16.003471
800,4,0.466938,10.9651,0.656522,3.89934,6.43726,7.56072,41.334952
800,8,0.561911,9.11176,0.661772,3.8684,3.12853,4.352213,71.807607
800,10,0.485308,10.55,0.656162,3.90148,3.96974,5.11121,61.144426
800,16,0.541509,9.45506,0.800514,3.19795,3.05643,4.398453,71.052709
800,25,0.54483,9.39743,2.11798,1.2087,4.0523,6.71511,46.540116
800,32,0.494699,10.3497,1.42227,1.79994,3.44547,5.362439,58.279824
1024,1,0.784074,10.6987,1.31982,3.17793,145.96,148.063894,22.874854
1024,2,0.735853,11.3998,1.32617,3.16271,32.7333,34.795323,97.338944
1024,4,0.892457,9.39945,1.38339,3.03191,11.8564,14.132247,239.660402
1024,8,0.759744,11.0414,1.41094,2.97271,5.06728,7.237964,467.940985
1024,10,0.764374,10.9745,1.33372,3.14481,5.82308,7.921174,427.580558
1024,16,0.774514,10.8308,1.31188,3.19716,3.70289,5.789284,585.036077
1024,25,0.879156,9.54166,1.38038,3.03853,4.92106,7.180596,471.67951
1024,32,0.741903,11.3069,1.35594,3.09327,4.23964,6.337483,534.429836
2048,1,3.70273,9.06209,3.62041,4.63407,565.102,572.42514,49.7134
2048,2,3.11684,10.7655,3.96078,4.23583,170.214,177.29162,160.510689
2048,4,3.40153,9.86451,4.02232,4.17103,85.3799,92.80375,306.638471
2048,8,3.15344,10.6406,3.51081,4.77873,32.6548,39.31905,723.750955
2048,10,3.19103,10.5152,3.89788,4.30419,36.5458,43.63471,652.168881
2048,16,3.17508,10.5681,3.65379,4.59173,18.7978,25.62667,1110.452509
2048,25,3.09885,10.828,3.55277,4.72229,27.0296,33.68122,844.898136
2048,32,3.56022,9.42481,3.58566,4.67898,21.4988,28.64468,993.45498
4096,1,11.5378,11.6329,12.6258,5.3152,3118.04,3142.2036,91.981309
4096,2,11.2822,11.8964,12.3389,5.43881,1291.68,1315.3011,219.7398
4096,4,11.5498,11.6208,12.4793,5.37761,508.873,532.9021,542.358531
4096,8,11.3844,11.7896,12.6862,5.28993,227.325,251.3956,1149.678037
4096,10,11.3721,11.8024,12.5139,5.36275,356.044,379.93,760.729608
4096,16,11.5772,11.5933,12.4518,5.38947,143.641,167.67,1723.766923
4096,25,11.3736,11.8008,12.707,5.28127,213.833,237.9136,1214.827568
4096,32,11.4022,11.7712,13.1821,5.09091,167.899,192.4833,1501.553641
5000,1,16.8103,11.8974,18.6295,5.36784,6193.9,6229.3398,12.498259
5000,2,17.0546,11.727,18.4279,5.42656,2112.07,2147.5525,36.253316
5000,4,16.8496,11.8697,18.4457,5.42131,840.448,875.7433,88.90265
5000,8,16.5877,12.0571,18.3624,5.44591,614.862,649.8121,119.812943
5000,10,16.6645,12.0015,18.1931,5.4966,473.388,508.2456,153.185586
5000,16,16.5851,12.059,18.0767,5.53199,265.651,300.3128,259.249356
5000,25,16.7892,11.9125,18.5113,5.40211,397.021,432.3215,180.087967
5000,32,16.8204,11.8903,19.2453,5.19608,1837.22,1873.2857,41.561146
