size,time,bandwidth
16,7e-05,5.71429e+07
16,5e-05,8e+07
16,6e-05,6.66667e+07
16,5e-05,8e+07
16,5e-05,8e+07
16,5e-05,8e+07
16,6e-05,6.66667e+07
16,6e-05,6.66667e+07
16,5e-05,8e+07
16,6e-05,6.66667e+07
64,9e-05,4.44444e+07
64,9e-05,4.44444e+07
64,9e-05,4.44444e+07
64,9e-05,4.44444e+07
64,9e-05,4.44444e+07
64,9e-05,4.44444e+07
64,9e-05,4.44444e+07
64,0.0001,4e+07
64,9e-05,4.44444e+07
64,9e-05,4.44444e+07
256,0.00027,1.48148e+07
256,0.00026,1.53846e+07
256,0.00026,1.53846e+07
256,0.00026,1.53846e+07
256,0.00027,1.48148e+07
256,0.00026,1.53846e+07
256,0.00027,1.48148e+07
256,0.00027,1.48148e+07
256,0.00027,1.48148e+07
256,0.00027,1.48148e+07
1024,0.00096,4.16667e+06
1024,0.00096,4.16667e+06
1024,0.00097,4.12371e+06
1024,0.00096,4.16667e+06
1024,0.00097,4.12371e+06
1024,0.00096,4.16667e+06
1024,0.00096,4.16667e+06
1024,0.00097,4.12371e+06
1024,0.00096,4.16667e+06
1024,0.00097,4.12371e+06
4096,0.00375,1.06667e+06
4096,0.00376,1.06383e+06
4096,0.00826,484262
4096,0.00516,775194
4096,0.00376,1.06383e+06
4096,0.00375,1.06667e+06
4096,0.00376,1.06383e+06
4096,0.00376,1.06383e+06
4096,0.00376,1.06383e+06
4096,0.00376,1.06383e+06
16384,0.01493,267917
16384,0.01493,267917
16384,0.01492,268097
16384,0.014931,267899
16384,0.014931,267899
16384,0.014931,267899
16384,0.01492,268097
16384,0.01493,267917
16384,0.01493,267917
16384,0.01493,267917
65536,0.059611,67101.7
65536,0.064611,61909
65536,0.059611,67101.7
65536,0.059611,67101.7
65536,0.059621,67090.5
65536,0.059621,67090.5
65536,0.059611,67101.7
65536,0.059611,67101.7
65536,0.059651,67056.7
65536,0.059611,67101.7
262144,0.238424,16776.8
262144,0.245064,16322.3
262144,0.238384,16779.6
262144,0.238384,16779.6
262144,0.238384,16779.6
262144,0.238374,16780.4
262144,0.238354,16781.8
262144,0.260984,15326.6
262144,0.238374,16780.4
262144,0.238464,16774
1048576,0.958337,4173.9
1048576,0.958907,4171.42
1048576,0.953316,4195.88
1048576,2.11317,1892.9
1048576,2.10828,1897.29
1048576,0.958666,4172.46
1048576,0.953316,4195.88
1048576,0.953646,4194.43
1048576,0.953656,4194.38
1048576,0.953626,4194.52
2097152,1.90765,2096.82
2097152,1.9206,2082.68
2097152,1.91328,2090.65
2097152,1.91335,2090.57
2097152,2.02439,1975.9
2097152,1.91345,2090.46
2097152,1.91235,2091.67
2097152,1.9125,2091.5
2097152,1.91766,2085.87
2097152,1.92039,2082.91
