array_size,block_size,time,bandwidth
16,1,0.5344,7485.03
16,1,0.906866,4410.79
16,1,26.8345,149.062
16,1,13.3504,299.617
16,1,0.506459,7897.97
16,1,0.500489,7992.18
16,1,0.502679,7957.36
16,1,0.514959,7767.61
16,1,0.511049,7827.04
16,1,0.503378,7946.31
16,8,0.502319,7963.07
16,8,0.501828,7970.86
16,8,0.507979,7874.34
16,8,0.505839,7907.65
16,8,0.509359,7853.01
16,8,0.518999,7707.14
16,8,0.503199,7949.14
16,8,0.509449,7851.62
16,8,0.503539,7943.77
16,8,0.508269,7869.85
16,16,0.505529,7912.5
16,16,0.506139,7902.97
16,16,0.509549,7850.08
16,16,0.506959,7890.18
16,16,0.502749,7956.26
16,16,0.515119,7765.2
16,16,0.513519,7789.39
16,16,0.514319,7777.27
16,16,0.517819,7724.71
16,16,0.516719,7741.15
16,64,0.507189,7886.61
16,64,0.516299,7747.45
16,64,0.516599,7742.95
16,64,0.518729,7711.16
16,64,0.520359,7687
16,64,0.518589,7713.24
16,64,0.505019,7920.49
16,64,0.503769,7940.15
16,64,0.503729,7940.78
16,64,0.502739,7956.41
16,128,0.867075,4613.21
16,128,10.0986,396.095
16,128,0.502059,7967.19
16,128,0.511809,7815.42
16,128,0.502259,7964.02
16,128,0.508479,7866.6
16,128,0.508119,7872.17
16,128,0.501588,7974.67
16,128,0.502328,7962.92
16,128,0.503659,7941.88
16,512,0.508839,7861.03
16,512,0.504999,7920.81
16,512,0.506599,7895.79
16,512,0.511589,7818.78
16,512,0.503289,7947.72
16,512,0.511019,7827.5
16,512,0.504388,7930.4
16,512,0.506889,7891.27
16,512,0.503839,7939.04
16,512,0.510079,7841.92
16,1024,0.504419,7929.92
16,1024,0.502609,7958.47
16,1024,0.503289,7947.72
16,1024,0.505399,7914.54
16,1024,0.504699,7925.52
16,1024,0.505049,7920.02
16,1024,0.505179,7917.99
16,1024,0.500559,7991.07
16,1024,0.506399,7898.91
16,1024,0.503929,7937.63
64,1,0.506549,7896.57
64,1,0.507169,7886.92
64,1,0.505949,7905.94
64,1,0.510819,7830.56
64,1,0.512359,7807.03
64,1,0.510809,7830.72
64,1,0.505888,7906.89
64,1,0.513279,7793.03
64,1,0.510659,7833.02
64,1,0.509869,7845.15
64,8,0.500609,7990.27
64,8,0.503309,7947.4
64,8,0.504699,7925.52
64,8,23.6198,169.35
64,8,0.793554,5040.61
64,8,0.503459,7945.04
64,8,0.506499,7897.35
64,8,0.505859,7907.34
64,8,0.507579,7880.55
64,8,0.511229,7824.28
64,16,0.505719,7909.53
64,16,0.505639,7910.78
64,16,0.507489,7881.94
64,16,0.501479,7976.41
64,16,0.506339,7899.85
64,16,0.504279,7932.12
64,16,0.505129,7918.77
64,16,0.504629,7926.62
64,16,0.508589,7864.9
64,16,0.503729,7940.78
64,64,0.506729,7893.77
64,64,0.511049,7827.04
64,64,0.520479,7685.23
64,64,0.509899,7844.69
64,64,0.506139,7902.97
64,64,0.504999,7920.81
64,64,0.511059,7826.88
64,64,0.510649,7833.17
64,64,0.510048,7842.4
64,64,0.516129,7750
64,128,0.499439,8008.99
64,128,0.507209,7886.3
64,128,0.511129,7825.81
64,128,0.509379,7852.7
64,128,0.503579,7943.14
64,128,0.506729,7893.77
64,128,0.509539,7850.23
64,128,0.507739,7878.06
64,128,0.511249,7823.98
64,128,0.508199,7870.93
64,512,0.504289,7931.96
64,512,3.54738,1127.59
64,512,25.6544,155.919
64,512,0.624202,6408.18
64,512,0.513079,7796.07
64,512,0.507319,7884.59
64,512,0.503349,7946.77
64,512,0.506329,7900
64,512,0.512869,7799.26
64,512,0.508229,7870.47
64,1024,0.504989,7920.96
64,1024,0.511039,7827.19
64,1024,0.507149,7887.23
64,1024,0.506849,7891.9
64,1024,0.505119,7918.93
64,1024,0.508389,7867.99
64,1024,0.502408,7961.66
64,1024,0.508939,7859.49
64,1024,0.511759,7816.18
64,1024,0.503928,7937.64
256,1,0.502189,7965.13
256,1,0.505609,7911.25
256,1,0.507618,7879.94
256,1,0.502779,7955.78
256,1,0.503109,7950.56
256,1,0.509259,7854.55
256,1,0.512969,7797.74
256,1,0.512449,7805.65
256,1,0.506969,7890.03
256,1,0.507709,7878.53
256,8,0.505909,7906.56
256,8,0.503009,7952.14
256,8,0.511109,7826.12
256,8,0.507589,7880.39
256,8,0.503918,7937.8
256,8,0.505349,7915.32
256,8,0.512729,7801.39
256,8,0.503149,7949.93
256,8,0.506119,7903.28
256,8,0.504309,7931.65
256,16,0.516869,7738.9
256,16,0.509259,7854.55
256,16,0.512649,7802.61
256,16,0.505869,7907.19
256,16,0.522909,7649.51
256,16,0.519109,7705.51
256,16,6.06523,659.497
256,16,0.621021,6441.01
256,16,0.506659,7894.86
256,16,0.502759,7956.1
256,64,0.514959,7767.61
256,64,0.510599,7833.94
256,64,0.508379,7868.15
256,64,0.509119,7856.71
256,64,0.505119,7918.93
256,64,0.504189,7933.53
256,64,0.504269,7932.27
256,64,0.506079,7903.9
256,64,0.5033,7947.55
256,64,0.53148,7526.15
256,128,0.508249,7870.16
256,128,0.503659,7941.88
256,128,0.502879,7954.2
256,128,0.514759,7770.63
256,128,0.504919,7922.06
256,128,0.508029,7873.57
256,128,0.51547,7759.91
256,128,0.501349,7978.47
256,128,0.508669,7863.66
256,128,0.512229,7809.01
256,512,0.506179,7902.34
256,512,0.5069,7891.1
256,512,0.503959,7937.15
256,512,0.508119,7872.17
256,512,0.506199,7902.03
256,512,0.51127,7823.65
256,512,0.502959,7952.93
256,512,0.515769,7755.41
256,512,0.503769,7940.15
256,512,0.51418,7779.38
256,1024,0.506909,7890.96
256,1024,0.511779,7815.87
256,1024,0.507509,7881.63
256,1024,0.504049,7935.74
256,1024,25.6429,155.989
256,1024,1.36231,2936.18
256,1024,0.502299,7963.38
256,1024,0.50424,7932.73
256,1024,0.50635,7899.67
256,1024,0.50649,7897.49
1024,1,0.504809,7923.79
1024,1,0.503079,7951.04
1024,1,0.50681,7892.5
1024,1,0.50357,7943.28
1024,1,0.50557,7911.86
1024,1,0.513879,7783.93
1024,1,0.51213,7810.52
1024,1,0.509119,7856.71
1024,1,0.504979,7921.12
1024,1,0.511529,7819.69
1024,8,0.505729,7909.37
1024,8,0.51013,7841.14
1024,8,0.51114,7825.64
1024,8,0.517229,7733.52
1024,8,0.505889,7906.87
1024,8,0.50921,7855.31
1024,8,0.50813,7872
1024,8,0.50969,7847.91
1024,8,0.508509,7866.13
1024,8,0.507189,7886.61
1024,16,0.510359,7837.62
1024,16,0.51262,7803.05
1024,16,0.507519,7881.48
1024,16,0.504159,7934
1024,16,0.50636,7899.52
1024,16,0.51061,7833.77
1024,16,0.503079,7951.04
1024,16,0.505719,7909.53
1024,16,0.507489,7881.94
1024,16,0.503429,7945.51
1024,64,0.505179,7917.99
1024,64,0.510199,7840.08
1024,64,0.503049,7951.51
1024,64,0.51608,7750.74
1024,64,0.510869,7829.8
1024,64,0.505789,7908.44
1024,64,1.82861,2187.45
1024,64,28.5344,140.181
1024,64,1.42754,2802.03
1024,64,0.50919,7855.61
1024,128,0.51181,7815.4
1024,128,0.50641,7898.74
1024,128,0.497629,8038.12
1024,128,0.50898,7858.85
1024,128,0.505869,7907.19
1024,128,0.508519,7865.98
1024,128,0.51218,7809.75
1024,128,0.506729,7893.77
1024,128,0.50853,7865.81
1024,128,0.507369,7883.81
1024,512,0.505699,7909.84
1024,512,0.505989,7905.31
1024,512,0.509229,7855.01
1024,512,0.5065,7897.33
1024,512,0.503169,7949.62
1024,512,0.51712,7735.15
1024,512,0.51027,7838.99
1024,512,0.50931,7853.76
1024,512,0.512259,7808.55
1024,512,0.507349,7884.12
1024,1024,0.502799,7955.47
1024,1024,0.50826,7869.99
1024,1024,0.512429,7805.96
1024,1024,0.51475,7770.76
1024,1024,0.50756,7880.84
1024,1024,0.508109,7872.33
1024,1024,0.510999,7827.8
1024,1024,0.507349,7884.12
1024,1024,0.51788,7723.8
1024,1024,0.510549,7834.7
4096,1,0.519149,7704.92
4096,1,0.529949,7547.9
4096,1,0.50997,7843.6
4096,1,0.51001,7842.98
4096,1,0.5156,7757.95
4096,1,0.979638,4083.14
4096,1,2.28964,1747
4096,1,1.19257,3354.1
4096,1,0.607841,6580.67
4096,1,0.53264,7509.76
4096,8,0.5055,7912.96
4096,8,0.508999,7858.56
4096,8,0.51012,7841.29
4096,8,0.509549,7850.08
4096,8,0.512819,7800.02
4096,8,0.505349,7915.32
4096,8,0.508249,7870.16
4096,8,0.5227,7652.57
4096,8,0.507769,7877.6
4096,8,0.50786,7876.19
4096,16,0.513809,7784.99
4096,16,0.517059,7736.06
4096,16,0.515169,7764.44
4096,16,0.51571,7756.3
4096,16,0.513289,7792.88
4096,16,0.51048,7835.76
4096,16,0.510109,7841.46
4096,16,0.51494,7767.9
4096,16,0.51075,7831.62
4096,16,0.51314,7795.14
4096,64,0.51266,7802.44
4096,64,0.510259,7839.16
4096,64,0.512389,7806.57
4096,64,0.51635,7746.68
4096,64,0.50352,7944.07
4096,64,0.501989,7968.3
4096,64,0.5106,7833.92
4096,64,0.513169,7794.7
4096,64,0.511439,7821.07
4096,64,0.51146,7820.75
4096,128,0.50835,7868.59
4096,128,0.511939,7813.43
4096,128,0.509899,7844.69
4096,128,0.51287,7799.25
4096,128,0.50957,7849.76
4096,128,0.510259,7839.16
4096,128,0.51252,7804.57
4096,128,0.511399,7821.68
4096,128,0.52761,7581.36
4096,128,1.65116,2422.54
4096,512,6.57319,608.532
4096,512,0.54597,7326.41
4096,512,0.504499,7928.66
4096,512,0.52855,7567.87
4096,512,0.53214,7516.82
4096,512,0.51766,7727.08
4096,512,0.51836,7716.64
4096,512,0.52305,7647.45
4096,512,0.52414,7631.55
4096,512,0.54763,7304.2
4096,1024,0.53572,7466.59
4096,1024,0.51406,7781.19
4096,1024,0.530889,7534.53
4096,1024,0.51971,7696.6
4096,1024,0.506179,7902.34
4096,1024,0.52758,7581.79
4096,1024,0.518829,7709.67
4096,1024,0.52521,7616
4096,1024,0.511059,7826.88
4096,1024,0.51894,7708.02
16384,1,0.52425,7629.95
16384,1,0.52631,7600.08
16384,1,0.53774,7438.54
16384,1,0.533879,7492.33
16384,1,0.527469,7583.38
16384,1,0.525409,7613.12
16384,1,0.52531,7614.55
16384,1,0.530289,7543.06
16384,1,0.529199,7558.59
16384,1,0.53872,7425.01
16384,8,0.51774,7725.89
16384,8,0.505129,7918.77
16384,8,0.516009,7751.8
16384,8,0.515629,7757.52
16384,8,0.521269,7673.58
16384,8,0.579831,6898.56
16384,8,0.54016,7405.21
16384,8,0.982098,4072.91
16384,8,1.65506,2416.83
16384,8,0.515579,7758.27
16384,16,0.51525,7763.22
16384,16,0.522879,7649.95
16384,16,0.513609,7788.03
16384,16,0.519499,7699.73
16384,16,0.509789,7846.38
16384,16,0.54418,7350.51
16384,16,0.513499,7789.69
16384,16,0.521879,7664.61
16384,16,0.50846,7866.89
16384,16,0.52646,7597.92
16384,64,0.52772,7579.78
16384,64,0.51933,7702.23
16384,64,0.517879,7723.81
16384,64,0.516349,7746.7
16384,64,0.52369,7638.11
16384,64,0.57566,6948.55
16384,64,0.517719,7726.2
16384,64,0.52324,7644.68
16384,64,0.53675,7452.26
16384,64,0.52274,7651.99
16384,128,0.51795,7722.75
16384,128,0.52175,7666.51
16384,128,0.587851,6804.45
16384,128,0.51193,7813.57
16384,128,0.504669,7925.99
16384,128,0.515429,7760.53
16384,128,0.513219,7793.94
16384,128,0.52538,7613.54
16384,128,0.51872,7711.29
16384,128,0.52027,7688.32
16384,512,0.510829,7830.41
16384,512,0.514949,7767.76
16384,512,0.511299,7823.21
16384,512,0.53539,7471.19
16384,512,0.50517,7918.13
16384,512,0.51693,7737.99
16384,512,0.510819,7830.56
16384,512,0.516229,7748.5
16384,512,0.503599,7942.83
16384,512,0.890997,4489.35
16384,1024,23.0909,173.228
