num_elements,segment_size_bytes,segment_size_kb,num_iterations,threads_per_block,h2d_time_ms,h2d_bandwidth_gbs,kernel_time_ms,d2h_time_ms,d2h_bandwidth_gbs,total_time_ms
512000,262144,256,10,128,91.116828,13.7449139,4.511614,0.043071,2236.72355,20109.086
512000,393216,384,10,128,102.000711,8.50034545,7.835236,0.060571,1590.49578,15393.7905
512000,524288,512,10,128,122.297331,6.01250995,12.134704,0.077791,1297.39224,14756.2999
512000,655360,640,10,128,144.472179,4.388809,17.969232,0.097712,1056.36155,14565.2492
512000,786432,768,10,128,155.042575,3.10682147,25.392019,0.115122,836.833273,12590.6065
512000,917504,896,10,128,176.746616,2.4138474,35.221221,0.131873,730.535591,12693.2038
512000,1048576,1024,10,128,231.58551,2.10543328,46.404587,0.150673,730.724682,16655.6551
512000,1179648,1152,10,128,235.033633,1.69393288,58.342701,0.166253,620.856165,14680.0633
512000,1310720,1280,10,128,281.567245,1.57109184,70.530686,0.187154,612.800154,17580.6971
512000,1398101,1365,10,128,241.351021,1.33234191,80.316707,0.198624,492.723538,12915.0661
