num_elements,num_iterations,threads_per_block,H2D_time_ms,H2D_bandwidth_GBs,D2H_time_ms,D2H_bandwidth_GBs,kernel_time_ms
64,1000,128,0.777004,0.00230629443,0.022331,0.08024719,39.922585
128,1000,128,0.053481,0.0670144537,0.026111,0.137260159,66.446665
256,1000,128,0.051231,0.139915286,0.022171,0.323305219,88.736896
512,1000,128,0.034811,0.411823849,0.023471,0.610796302,157.368602
1024,1000,128,0.03411,0.840574612,0.024201,1.18474443,269.813215
2048,1000,128,0.039901,1.43715696,0.02733,2.0982071,524.772657
4096,1000,128,0.041631,2.75487017,0.032691,3.50824386,1034.41218
8192,1000,128,0.050861,4.50986021,0.040831,5.61769244,2085.21378
16384,1000,128,0.070381,6.51812279,0.058401,7.85520796,4497.28863
32768,1000,128,0.107952,8.49918482,0.092152,9.95641983,12092.1011
