size,blockSize,iterations,time,ips
100,1,500,25.3881,1.96942e+08
100,1,500,25.2617,1.97928e+08
100,1,500,25.2759,1.97817e+08
100,1,500,25.3368,1.97341e+08
100,1,500,25.2204,1.98252e+08
100,1,500,25.2493,1.98026e+08
100,1,500,25.0425,1.99661e+08
100,1,500,25.3782,1.97019e+08
100,1,500,24.9578,2.00338e+08
100,1,500,1593.45,3.13784e+06
500,1,500,117.03,1.0681e+09
500,1,500,82.4411,1.51623e+09
500,1,500,82.4343,1.51636e+09
500,1,500,82.3889,1.5172e+09
500,1,500,114.944,1.08749e+09
500,1,500,90.4477,1.38201e+09
500,1,500,90.3029,1.38423e+09
500,1,500,90.197,1.38585e+09
500,1,500,82.7309,1.51092e+09
500,1,500,82.7738,1.51014e+09
1000,1,500,169.454,2.95065e+09
1000,1,500,169.47,2.95037e+09
1000,1,500,169.378,2.95198e+09
1000,1,500,169.529,2.94935e+09
1000,1,500,169.309,2.95318e+09
1000,1,500,169.387,2.95182e+09
1000,1,500,170.705,2.92903e+09
1000,1,500,170.664,2.92974e+09
1000,1,500,170.674,2.92957e+09
1000,1,500,170.655,2.92989e+09
5000,1,500,4277.81,2.92205e+09
5000,1,500,4277.04,2.92258e+09
5000,1,500,4301.19,2.90617e+09
5000,1,500,4306.54,2.90256e+09
5000,1,500,4306.52,2.90257e+09
5000,1,500,4306.08,2.90287e+09
5000,1,500,4306.82,2.90237e+09
5000,1,500,4306.48,2.90261e+09
5000,1,500,4306.48,2.9026e+09
5000,1,500,4306.62,2.90251e+09
100,16,500,19.6988,2.53823e+08
100,16,500,19.4416,2.57181e+08
100,16,500,19.5119,2.56254e+08
100,16,500,19.4607,2.56928e+08
100,16,500,19.424,2.57414e+08
100,16,500,19.4553,2.57e+08
100,16,500,26.316,1.89999e+08
100,16,500,26.6739,1.87449e+08
100,16,500,26.5943,1.8801e+08
100,16,500,19.5782,2.55386e+08
500,16,500,81.5018,1.53371e+09
500,16,500,81.5242,1.53329e+09
500,16,500,81.5796,1.53225e+09
500,16,500,81.2846,1.53781e+09
500,16,500,81.4554,1.53458e+09
500,16,500,81.5003,1.53374e+09
500,16,500,81.5441,1.53291e+09
500,16,500,81.5966,1.53193e+09
500,16,500,81.3048,1.53742e+09
500,16,500,81.497,1.5338e+09
1000,16,500,159.229,3.14014e+09
1000,16,500,159.194,3.14082e+09
1000,16,500,159.222,3.14027e+09
1000,16,500,159.091,3.14285e+09
1000,16,500,159.26,3.13952e+09
1000,16,500,159.275,3.13922e+09
1000,16,500,159.163,3.14144e+09
1000,16,500,159.247,3.13978e+09
1000,16,500,159.172,3.14125e+09
1000,16,500,159.127,3.14215e+09
5000,16,500,782.228,1.598e+10
5000,16,500,782.122,1.59822e+10
5000,16,500,781.987,1.59849e+10
5000,16,500,781.879,1.59871e+10
5000,16,500,782.273,1.59791e+10
5000,16,500,781.946,1.59857e+10
5000,16,500,782.03,1.59841e+10
5000,16,500,782.149,1.59816e+10
5000,16,500,782.04,1.59838e+10
5000,16,500,781.9,1.59867e+10
100,256,500,17.0128,2.93897e+08
100,256,500,20.0321,2.496e+08
100,256,500,19.379,2.58011e+08
100,256,500,19.329,2.58679e+08
100,256,500,19.3737,2.58082e+08
100,256,500,19.2718,2.59447e+08
100,256,500,19.2764,2.59385e+08
100,256,500,19.4757,2.5673e+08
100,256,500,20.8465,2.39848e+08
100,256,500,20.2365,2.47078e+08
500,256,500,92.8126,1.3468e+09
500,256,500,92.5265,1.35096e+09
500,256,500,92.8223,1.34666e+09
500,256,500,95.9538,1.30271e+09
500,256,500,105.882,1.18056e+09
500,256,500,105.955,1.17975e+09
500,256,500,85.6554,1.45934e+09
500,256,500,81.6739,1.53048e+09
500,256,500,77.8836,1.60496e+09
500,256,500,77.8396,1.60587e+09
1000,256,500,160.796,3.10952e+09
1000,256,500,158.016,3.16424e+09
