size,blockSize,iterations,time,ips
100,1,500,2135.61,2.34125e+06
100,1,500,26.8808,1.86006e+08
100,1,500,26.8209,1.86422e+08
100,1,500,26.7502,1.86914e+08
100,1,500,26.6562,1.87573e+08
100,1,500,26.8413,1.8628e+08
100,1,500,26.7287,1.87065e+08
100,1,500,26.8765,1.86036e+08
100,1,500,26.7229,1.87106e+08
100,1,500,26.7624,1.86829e+08
500,1,500,135.342,9.23587e+08
500,1,500,96.9476,1.28936e+09
500,1,500,96.705,1.29259e+09
500,1,500,97.0199,1.2884e+09
500,1,500,97.2013,1.28599e+09
500,1,500,96.9321,1.28956e+09
500,1,500,96.9512,1.28931e+09
500,1,500,97.0757,1.28765e+09
500,1,500,96.9943,1.28874e+09
500,1,500,97.0416,1.28811e+09
1000,1,500,177.959,2.80964e+09
1000,1,500,180.035,2.77724e+09
1000,1,500,179.741,2.78178e+09
1000,1,500,179.927,2.7789e+09
1000,1,500,179.67,2.78287e+09
1000,1,500,180.364,2.77217e+09
1000,1,500,181.643,2.75265e+09
1000,1,500,213.085,2.34648e+09
1000,1,500,177.706,2.81363e+09
1000,1,500,177.735,2.81318e+09
5000,1,500,4170.96,2.99691e+09
5000,1,500,4171.49,2.99653e+09
5000,1,500,4170.6,2.99717e+09
5000,1,500,4178.28,2.99166e+09
5000,1,500,4186.74,2.98561e+09
5000,1,500,4186.83,2.98555e+09
5000,1,500,4186.96,2.98546e+09
5000,1,500,4185.9,2.98622e+09
5000,1,500,4186.26,2.98596e+09
5000,1,500,4187.65,2.98497e+09
100,16,500,20.9649,2.38494e+08
100,16,500,21.1275,2.36658e+08
100,16,500,21.3336,2.34372e+08
100,16,500,21.1744,2.36134e+08
100,16,500,21.0996,2.36971e+08
100,16,500,21.0731,2.3727e+08
100,16,500,23.3899,2.13768e+08
100,16,500,23.7723,2.10329e+08
100,16,500,23.4832,2.12918e+08
100,16,500,23.3102,2.14499e+08
500,16,500,114.015,1.09635e+09
500,16,500,103.773,1.20455e+09
500,16,500,103.799,1.20425e+09
500,16,500,103.577,1.20684e+09
500,16,500,103.62,1.20634e+09
500,16,500,103.748,1.20484e+09
500,16,500,103.82,1.20401e+09
500,16,500,103.785,1.20441e+09
500,16,500,103.6,1.20656e+09
500,16,500,103.76,1.20471e+09
1000,16,500,189.237,2.64219e+09
1000,16,500,189.123,2.64378e+09
1000,16,500,189.147,2.64345e+09
1000,16,500,189.171,2.64312e+09
1000,16,500,189.213,2.64253e+09
1000,16,500,190.442,2.62547e+09
1000,16,500,189.174,2.64308e+09
1000,16,500,189.113,2.64392e+09
1000,16,500,189.103,2.64407e+09
1000,16,500,188.971,2.64591e+09
5000,16,500,972.187,1.28576e+10
5000,16,500,977.688,1.27853e+10
5000,16,500,976.168,1.28052e+10
5000,16,500,972.001,1.28601e+10
5000,16,500,979.097,1.27669e+10
5000,16,500,980.866,1.27438e+10
5000,16,500,975.136,1.28187e+10
5000,16,500,976.483,1.2801e+10
5000,16,500,973.886,1.28352e+10
5000,16,500,974.49,1.28272e+10
100,256,500,18.6343,2.68323e+08
100,256,500,18.6418,2.68214e+08
100,256,500,18.697,2.67422e+08
100,256,500,18.4942,2.70356e+08
100,256,500,18.5913,2.68944e+08
100,256,500,18.8111,2.65801e+08
100,256,500,20.979,2.38333e+08
100,256,500,21.2179,2.3565e+08
100,256,500,21.7832,2.29534e+08
100,256,500,21.9004,2.28307e+08
500,256,500,117.064,1.06779e+09
500,256,500,114.121,1.09532e+09
500,256,500,114.27,1.0939e+09
500,256,500,114.131,1.09524e+09
500,256,500,114.363,1.09301e+09
500,256,500,122.283,1.02222e+09
500,256,500,128.262,9.74568e+08
500,256,500,122.003,1.02457e+09
500,256,500,101.2,1.23518e+09
500,256,500,101.127,1.23606e+09
1000,256,500,181.186,2.7596e+09
1000,256,500,181.046,2.76172e+09
1000,256,500,181.141,2.76028e+09
1000,256,500,181.105,2.76083e+09
1000,256,500,180.833,2.76499e+09
1000,256,500,181.191,2.75951e+09
1000,256,500,181.119,2.76062e+09
1000,256,500,181.228,2.75896e+09
1000,256,500,181.252,2.75858e+09
1000,256,500,181.235,2.75885e+09
5000,256,500,1561.44,8.00543e+09
5000,256,500,857.262,1.45813e+10
5000,256,500,856.835,1.45886e+10
5000,256,500,856.723,1.45905e+10
5000,256,500,857.112,1.45839e+10
5000,256,500,857.103,1.4584e+10
5000,256,500,856.933,1.45869e+10
5000,256,500,857.176,1.45828e+10
5000,256,500,857.3,1.45807e+10
5000,256,500,857.534,1.45767e+10
100,512,500,18.4802,2.7056e+08
100,512,500,18.5122,2.70092e+08
100,512,500,18.5686,2.69272e+08
100,512,500,18.8341,2.65475e+08
100,512,500,18.7084,2.6726e+08
100,512,500,25.5692,1.95548e+08
100,512,500,25.3404,1.97314e+08
100,512,500,21.8296,2.29047e+08
100,512,500,21.8816,2.28503e+08
100,512,500,21.7641,2.29736e+08
500,512,500,118.738,1.05274e+09
500,512,500,134.188,9.31532e+08
500,512,500,99.9819,1.25023e+09
500,512,500,99.2109,1.25994e+09
500,512,500,99.336,1.25836e+09
500,512,500,99.2202,1.25982e+09
500,512,500,99.5875,1.25518e+09
500,512,500,99.439,1.25705e+09
500,512,500,99.3662,1.25797e+09
500,512,500,99.1081,1.26125e+09
1000,512,500,188.923,2.64658e+09
1000,512,500,188.995,2.64558e+09
1000,512,500,188.5,2.65252e+09
1000,512,500,188.929,2.64649e+09
1000,512,500,188.864,2.64741e+09
1000,512,500,188.916,2.64668e+09
1000,512,500,188.68,2.64999e+09
1000,512,500,188.755,2.64894e+09
1000,512,500,188.906,2.64683e+09
1000,512,500,188.882,2.64716e+09
5000,512,500,919.602,1.35928e+10
5000,512,500,919.419,1.35955e+10
5000,512,500,919.286,1.35975e+10
5000,512,500,920.67,1.35771e+10
5000,512,500,919.563,1.35934e+10
5000,512,500,919.474,1.35947e+10
5000,512,500,919.072,1.36007e+10
5000,512,500,919.606,1.35928e+10
5000,512,500,919.454,1.3595e+10
5000,512,500,918.957,1.36024e+10
100,1024,500,18.5955,2.68883e+08
100,1024,500,18.8599,2.65112e+08
100,1024,500,18.5915,2.6894e+08
100,1024,500,18.5297,2.69837e+08
